Банк	Лицензия	ликвдата	причина	статус	хреф
Томскагропромбанк	972	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208642
Марийский	1243	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208132
Туваагропромбанк	1131	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208646
Мордовский	739	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208136
Тулаагропромбанк	1157	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208648
Удмуртский Коммерческий Сельскохозяйственный Банк	569	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208650
Земельный Банк	677	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208653
Конапкиро	1120	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208656
Нижегородский Агропромышленный Коммерческий Банк	916	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208146
Чувашсельхозбанк	850	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208662
Ярославлькомагробанк	1129	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208666
Комиагропромбанк	983	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=207901
Агропромкоопбанк	585	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208158
Олаагробанк	774	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208671
Костромаагробанк	995	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=207905
Агроформбанк	693	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208161
Нива	884	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=207907
Краснощековский	1032	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208675
Омский Коммерческий Агропромышленный Банк	819	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208165
Хакасия	1085	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=207910
Орелбанк	815	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208167
Курганагрокомбанк	847	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=207912
Ливныбанк	814	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208169
Троицкое-Банк	827	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208681
Калманка-Банк	1092	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208683
Железногорсккомбанк	663	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=207916
Провкомбанк	886	10.07.1992	"[<dd class=""margin-bottom-zero"">В 1990—1991 годах Центральным Банком РФ был зарегистрирован ряд коммерческих банков, образованных на базе бывшего государственного «Агропромбанка». В 1992 году пайщиками этих банков были приняты решения о прекращении их деятельности как самостоятельных коммерческих банков и преобразовании их в филиалы Россельхозбанка (Москва). Лицензии свыше 60 кредитных организаций, в том числе данного банка, были аннулированы (приказ Центрального Банка РСФСР № 02—123 от 10.07.1992).</dd>]"	ликв.	/banks/memory/bank/?id=208689
