Лицензия_банк,ИД_1800,дата
"Банкхаус Эрбе лицензия № 1717, Москва и обл.",14566,2015-02-01
"Акрополь лицензия № 3027, Москва и обл.",14553,2015-02-01
"Альта-Банк лицензия № 2269, Москва и обл.",14546,2015-02-01
"Верхневолжский лицензия № 1084, Ярославская обл.",14517,2015-02-01
"Руснарбанк лицензия № 3403, Москва и обл.",14497,2015-02-01
"Славянский Кредит лицензия № 2960, Москва и обл.",14457,2015-02-01
"Экономикс-Банк лицензия № 2136, Москва и обл.",14348,2015-02-01
"Ханты-Мансийский банк Открытие лицензия № 1971, Москва и обл.",14330,2015-02-01
"Московское Ипотечное Агентство лицензия № 3344, Москва и обл.",14310,2015-02-01
"Металлинвестбанк лицензия № 2440, Москва и обл.",14286,2015-02-01
"Океан Банк лицензия № 1697, Москва и обл.",14243,2015-02-01
"Венец лицензия № 524, Ульяновская обл.",14165,2015-02-01
"Народный Банк лицензия № 2249, Карачаево-Черкесия",14140,2015-02-01
"Банк Агора лицензия № 3231, Москва и обл.",14093,2015-02-01
"Кредит-Москва лицензия № 5, Москва и обл.",14092,2015-02-01
"ГРиС-Банк лицензия № 1928, Ставропольский край",14060,2015-02-01
"Банк Финсервис лицензия № 3388, Москва и обл.",14037,2015-02-01
"Синергия лицензия № 2884, Саратовская обл.",14023,2015-02-01
"Гранд Инвест Банк лицензия № 3053, Москва и обл.",14020,2015-02-01
"Сириус лицензия № 3506, Омская обл.",14013,2015-02-01
"Братский АНКБ лицензия № 1144, Иркутская обл.",14006,2015-02-01
"Костромаселькомбанк лицензия № 1115, Костромская обл.",13987,2015-02-01
"Капиталбанк лицензия № 2547, Ростовская обл.",13951,2015-02-01
"Чайна Констракшн лицензия № 3515, Москва и обл.",13948,2015-02-01
"Руна-Банк лицензия № 3207, Москва и обл.",13877,2015-02-01
"НС Банк лицензия № 3124, Москва и обл.",13874,2015-02-01
"Банк на Гончарной (бывш. Япы Креди Банк Москва) лицензия № 2555, Москва и обл.",13871,2015-02-01
"Заубер Банк лицензия № 1614, Санкт-Петербург и обл.",13853,2015-02-01
"Вокбанк лицензия № 312, Нижегородская обл.",13825,2015-02-01
"МАК-Банк лицензия № 1088, Москва и обл.",13762,2015-02-01
"Газнефтьбанк лицензия № 3223, Саратовская обл.",13743,2015-02-01
"Банк ПСА Финанс Рус лицензия № 3481, Москва и обл.",13674,2015-02-01
"Первомайский лицензия № 518, Краснодарский край",13673,2015-02-01
"Кредитинвест лицензия № 1197, Дагестан",13668,2015-02-01
"ЦентроКредит лицензия № 121, Москва и обл.",13626,2015-02-01
"Финтрастбанк лицензия № 3104, Москва и обл.",13616,2015-02-01
"Росбанк лицензия № 2272, Москва и обл.",13601,2015-02-01
"Агропромкредит лицензия № 2880, Москва и обл.",13562,2015-02-01
"Промышленно-Финансовое Сотрудничество лицензия № 2410, Москва и обл.",13560,2015-02-01
"Банк БКФ лицензия № 2684, Москва и обл.",13542,2015-02-01
"Сумитомо Мицуи лицензия № 3494, Москва и обл.",13526,2015-02-01
"КОР лицензия № 2148, Волгоградская обл.",13466,2015-02-01
"Милбанк лицензия № 3256, Москва и обл.",13452,2015-02-01
"Натиксис Банк лицензия № 3390, Москва и обл.",13447,2015-02-01
"Арзамас лицензия № 1281, Нижегородская обл.",13430,2015-02-01
"Республиканский Кредитный Альянс лицензия № 3017, Москва и обл.",13380,2015-02-01
"Росэнергобанк лицензия № 2211, Москва и обл.",13351,2015-02-01
"РусЮгбанк лицензия № 2093, Волгоградская обл.",13348,2015-02-01
"РСКБ лицензия № 2050, Москва и обл.",13268,2015-02-01
"РН Банк лицензия № 170, Москва и обл.",13262,2015-02-01
"БНП Париба Банк лицензия № 3407, Москва и обл.",13237,2015-02-01
"ОФК Банк лицензия № 2270, Москва и обл.",13205,2015-02-01
"Новобанк лицензия № 1352, Новгородская обл.",13177,2015-02-01
"Еврокредит лицензия № 2957, Москва и обл.",13176,2015-02-01
"МСП Банк лицензия № 3340, Москва и обл.",13153,2015-02-01
"Инвестторгбанк лицензия № 2763, Москва и обл.",13128,2015-02-01
"Вологжанин лицензия № 1896, Вологодская обл.",13060,2015-02-01
"Новопокровский лицензия № 467, Краснодарский край",12992,2015-02-01
"Гарант-Инвест лицензия № 2576, Москва и обл.",12955,2015-02-01
"Межрегиональный промышленно-строительный банк лицензия № 752, Мордовия",12934,2015-02-01
"Спецстройбанк лицензия № 236, Москва и обл.",12917,2015-02-01
"Долинск лицензия № 857, Сахалинская обл.",12909,2015-02-01
"Холмск лицензия № 503, Сахалинская обл.",12890,2015-02-01
"Интеркоопбанк лицензия № 2803, Москва и обл.",12849,2015-02-01
"Еврокапитал-Альянс лицензия № 3459, Ярославская обл.",12841,2015-02-01
"Вега-Банк лицензия № 3270, Москва и обл.",12809,2015-02-01
"Международный Коммерческий Банк лицензия № 2524, Москва и обл.",12782,2015-02-01
"Юг-Инвестбанк лицензия № 2772, Краснодарский край",12759,2015-02-01
"Прокоммерцбанк лицензия № 2996, Москва и обл.",12754,2015-02-01
"Кранбанк лицензия № 2271, Ивановская обл.",12742,2015-02-01
"Байкалкредобанк лицензия № 2990, Иркутская обл.",12732,2015-02-01
"Ростфинанс лицензия № 481, Ростовская обл.",12724,2015-02-01
"Айви Банк лицензия № 2055, Москва и обл.",12711,2015-02-01
"Крокус-Банк лицензия № 2682, Москва и обл.",12702,2015-02-01
"Дойче Банк лицензия № 3328, Москва и обл.",12668,2015-02-01
"1Банк лицензия № 2896, Северная Осетия — Алания",12647,2015-02-01
"Банк «Санкт-Петербург» лицензия № 436, Санкт-Петербург и обл.",12640,2015-02-01
"Нацинвестпромбанк лицензия № 3077, Москва и обл.",12631,2015-02-01
"Северо-Восточный Альянс лицензия № 2768, Москва и обл.",12631,2015-02-01
"Московский Нефтехимический Банк лицензия № 1411, Москва и обл.",12608,2015-02-01
"Петербургский Социальный Коммерческий Банк лицензия № 2551, Санкт-Петербург и обл.",12606,2015-02-01
"Взаимодействие лицензия № 1704, Новосибирская обл.",12605,2015-02-01
"БСТ-Банк лицензия № 2883, Кемеровская обл.",12597,2015-02-01
"ФДБ лицензия № 3071, Москва и обл.",12555,2015-02-01
"МДМ Банк лицензия № 2562, Москва и обл.",12540,2015-02-01
"Анелик РУ лицензия № 3443, Москва и обл.",12537,2015-02-01
"Сбербанк России лицензия № 1481, Москва и обл.",12503,2015-02-01
"Майский лицензия № 1673, Кабардино-Балкария",12501,2015-02-01
"Земкомбанк лицензия № 574, Ростовская обл.",12499,2015-02-01
"Финансово-Промышленный Капитал лицензия № 3295, Москва и обл.",12482,2015-02-01
"Экспо Финанс лицензия № 2594, Москва и обл.",12461,2015-02-01
"Росгосстрах Банк лицензия № 3073, Москва и обл.",12448,2015-02-01
"Уссури лицензия № 596, Хабаровский край",12441,2015-02-01
"Приско Капитал Банк лицензия № 2537, Москва и обл.",12437,2015-02-01
"МС Банк Рус лицензия № 2789, Москва и обл.",12381,2015-02-01
"Кросна-Банк лицензия № 2607, Москва и обл.",12377,2015-02-01
"Консервативный Коммерческий Банк лицензия № 1087, Астраханская обл.",12361,2015-02-01
